microscopy_histology,In situ hybridization,D017403,curated,In Situ Hybridization — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
microscopy_histology,Intravital microscopy,D000069416,curated,Intravital Microscopy — verified against the NLM scope note (medium confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
microscopy_histology,Single-molecule imaging,D000072760,curated,Single Molecule Imaging — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
molecular_biochem_reagents,Non-coding RNA reagents,D022661,curated,"RNA, Untranslated — verified against the NLM scope note (medium confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
molecular_biochem_reagents,Post-translational modification analysis,D011499,curated,"Protein Processing, Post-Translational — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
molecular_biochem_reagents,Stable isotope labeling reagents,D007553,curated,Isotope Labeling — verified against the NLM scope note (medium confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
other,Cryopreservation techniques,D015925,curated,Cryopreservation — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
software_informatics,Clinical decision support systems,D020000,curated,"Decision Support Systems, Clinical — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
structural_biophysical,Atomic force microscopy,D018625,curated,"Microscopy, Atomic Force — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
structural_biophysical,Fluorescence spectroscopy,D013050,curated,"Spectrometry, Fluorescence — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
structural_biophysical,NMR spectroscopy,D009682,curated,Magnetic Resonance Spectroscopy — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
structural_biophysical,X-ray crystallography,D018360,curated,"Crystallography, X-Ray — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
therapeutics_interventions,Adoptive cellular immunotherapy,D016219,curated,"Immunotherapy, Adoptive — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
therapeutics_interventions,Assisted reproductive technology,D027724,curated,"Reproductive Techniques, Assisted — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11."
therapeutics_interventions,Cancer antigen vaccines,D019496,curated,Cancer Vaccines — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
therapeutics_interventions,Cardiac surgical procedures,D006348,curated,Cardiac Surgical Procedures — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
therapeutics_interventions,Cognitive-behavioral therapy,D015928,curated,Cognitive Behavioral Therapy — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
therapeutics_interventions,Laparoscopic surgery,D010535,curated,Laparoscopy — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
therapeutics_interventions,Minimally invasive surgery,D019060,curated,Minimally Invasive Surgical Procedures — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
therapeutics_interventions,Nanoparticle-based drug delivery systems,D000090783,curated,Nanoparticle Drug Delivery System — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
therapeutics_interventions,Radiation therapy,D011878,curated,Radiotherapy — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
therapeutics_interventions,Radiofrequency ablation,D000078703,curated,Radiofrequency Ablation — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
therapeutics_interventions,Robotic-assisted surgery,D065287,curated,Robotic Surgical Procedures — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
therapeutics_interventions,Stereotactic radiosurgery,D016634,curated,Radiosurgery — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
therapeutics_interventions,Thrombolytic therapy,D015912,curated,Thrombolytic Therapy — verified against the NLM scope note (high confidence). #879 PR-2 batch; families.json v2026-06-10; hand-verified 2026-06-11.
