descriptor_ui,parent_topic_id,source_note
D012140,pulmonary_critical_care,"#1258 lay-term ""respiratory"" -> Respiratory Tract Diseases (NLM exact). Review."
D011871,radiology_medical_imaging,"#1258 lay-term ""radiology"" -> Radiology (NLM exact). Review."
D008279,radiology_medical_imaging,"#1258 lay-term ""MRI"" -> Magnetic Resonance Imaging (NLM exact). Review."
D003952,radiology_medical_imaging,"#1258 lay-term ""imaging"" -> Diagnostic Imaging (NLM exact). Review."
D012046,rehabilitation_disability_medicine,"#1258 lay-term ""rehabilitation"" -> Rehabilitation (NLM exact). Review."
D026741,rehabilitation_disability_medicine,"#1258 lay-term ""physical therapy"" -> Physical Therapy Modalities (NLM exact). Review."
D059010,single_cell_spatial_biology,"#1258 lay-term ""single cell"" -> Single-Cell Analysis (NLM exact). Review."
D000099285,single_cell_spatial_biology,"#1258 lay-term ""spatial transcriptomics"" -> Spatial Transcriptomics (NLM exact). Review."
D012890,sleep_medicine_circadian_biology,"#1258 lay-term ""sleep"" -> Sleep (NLM exact). Review."
D007319,sleep_medicine_circadian_biology,"#1258 lay-term ""insomnia"" -> Sleep Initiation and Maintenance Disorders (NLM exact). Review."
D002940,sleep_medicine_circadian_biology,"#1258 lay-term ""circadian"" -> Circadian Rhythm (NLM exact). Review."
D012891,sleep_medicine_circadian_biology,"#1258 lay-term ""sleep apnea"" -> Sleep Apnea Syndromes (NLM exact). Review."
D013234,stem_cell_regenerative_medicine,"#1258 lay-term ""stem cells"" -> Stem Cells (NLM exact). Review."
D044968,stem_cell_regenerative_medicine,"#1258 lay-term ""regenerative medicine"" -> Regenerative Medicine (NLM exact). Review."
D016739,substance_use_addiction_medicine,"#1258 lay-term ""addiction"" -> Behavior, Addictive (NLM contains). Review."
D000701,substance_use_addiction_medicine,"#1258 lay-term ""opioids"" -> Analgesics, Opioid (NLM exact). Review."
D019966,substance_use_addiction_medicine,"#1258 lay-term ""substance abuse"" -> Substance-Related Disorders (NLM exact). Review."
D000437,substance_use_addiction_medicine,"#1258 lay-term ""alcohol use"" -> Alcoholism (NLM exact). Review."
D013502,surgery_perioperative_medicine,"#1258 lay-term ""surgery"" -> General Surgery (NLM exact). Review."
D019990,surgery_perioperative_medicine,"#1258 lay-term ""perioperative"" -> Perioperative Care (NLM exact). Review."
D049490,systems_biology,"#1258 lay-term ""systems biology"" -> Systems Biology (NLM exact). Review."
D002986,translational_clinical_science,"#1258 lay-term ""clinical trials"" -> Clinical Trials as Topic (NLM exact). Review."
D057170,translational_clinical_science,"#1258 lay-term ""translational research"" -> Translational Research, Biomedical (NLM exact). Review."
D019737,transplantation_medicine,"#1258 lay-term ""transplant"" -> Transplants (NLM exact). Review."
D014572,urology_mens_health,"#1258 lay-term ""urology"" -> Urology (NLM exact). Review."
D005298,womens_health_reproductive_medicine,"#1258 lay-term ""fertility"" -> Fertility (NLM exact). Review."
D005307,womens_health_reproductive_medicine,"#1258 lay-term ""IVF"" -> Fertilization in Vitro (NLM exact). Review."
D008593,womens_health_reproductive_medicine,"#1258 lay-term ""menopause"" -> Menopause (NLM exact). Review."
