alias,descriptor_ui,source_note
Cardiac amyloidosis,D000686,"Amyloidosis. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Causal inference,D015984,"Causality. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Deep learning in radiology,D000077321,"Deep Learning. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Computational pathology,D007090,"Image Interpretation, Computer-Assisted. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
EGFR-mutant lung cancer (osimertinib),D066246,"ErbB Receptors. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
HIV / AIDS,D015658,"HIV Infections. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
HIV pre-exposure prophylaxis (PrEP),D065129,"Pre-Exposure Prophylaxis. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Heart failure with preserved EF (HFpEF),D006333,"Heart Failure. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
KRAS inhibitors,D016283,"Proto-Oncogene Proteins p21(ras). Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Large language models in medicine,D000098342,"Large Language Models. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Mendelian randomization,D057182,"Mendelian Randomization Analysis. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Neoantigen cancer vaccines,D019496,"Cancer Vaccines. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
PSMA PET imaging,D043425,"Glutamate Carboxypeptidase II. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Patient-derived organoids,D009940,"Organoids. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Physician burnout,D002055,"Burnout, Professional. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Preimplantation genetic testing,D019836,"Preimplantation Diagnosis. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Robotic surgery,D065287,"Robotic Surgical Procedures. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Simulation-based medical education,D000066908,"Simulation Training. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Single-cell RNA sequencing,D000092386,"Single-Cell Gene Expression Analysis. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Structure-based drug design,D015195,"Drug Design. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Targeted protein degradation (PROTAC),D000094243,"Proteolysis Targeting Chimera. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Total joint arthroplasty,D019643,"Arthroplasty, Replacement. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
Value-based care,D000093683,"Value-Based Health Care. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
siRNA therapeutics,D034741,"RNA, Small Interfering. Hero "Try:" chip lay-term; no NLM surface-form match (search-resolution audit 2026-06)."
healthspan,D000375,#1258 lay-term alias -> Aging
lupus,D008180,"#1258 lay-term alias -> Lupus Erythematosus, Systemic"
AI in medicine,D001185,#1258 lay-term alias -> Artificial Intelligence
wearables,D000076251,#1258 lay-term alias -> Wearable Electronic Devices
ICU,D007362,#1258 lay-term alias -> Intensive Care Units
disease surveillance,D062665,#1258 lay-term alias -> Epidemiological Monitoring
IBD,D015212,#1258 lay-term alias -> Inflammatory Bowel Diseases
CAR-T,D000076962,"#1258 lay-term alias -> Receptors, Chimeric Antigen"
social determinants,D064890,#1258 lay-term alias -> Social Determinants of Health
SDOH,D064890,#1258 lay-term alias -> Social Determinants of Health
blood disorders,D006402,#1258 lay-term alias -> Hematologic Diseases
COVID,D000086382,#1258 lay-term alias -> COVID-19
prenatal,D011295,#1258 lay-term alias -> Prenatal Care
neonatal,D007231,"#1258 lay-term alias -> Infant, Newborn"
residency training,D007396,#1258 lay-term alias -> Internship and Residency
diabetes,D003920,#1258 lay-term alias -> Diabetes Mellitus
gut bacteria,D000069196,#1258 lay-term alias -> Gastrointestinal Microbiome
Alzheimer's,D000544,#1258 lay-term alias -> Alzheimer Disease
Parkinson's,D010300,#1258 lay-term alias -> Parkinson Disease
ALS,D000690,#1258 lay-term alias -> Amyotrophic Lateral Sclerosis
nutrition,D052756,#1258 lay-term alias -> Nutritional Sciences
dental,D003813,#1258 lay-term alias -> Dentistry
ENT,D010036,#1258 lay-term alias -> Otolaryngology
ear nose throat,D010036,#1258 lay-term alias -> Otolaryngology
respiratory,D012140,#1258 lay-term alias -> Respiratory Tract Diseases
MRI,D008279,#1258 lay-term alias -> Magnetic Resonance Imaging
imaging,D003952,#1258 lay-term alias -> Diagnostic Imaging
single cell,D059010,#1258 lay-term alias -> Single-Cell Analysis
circadian,D002940,#1258 lay-term alias -> Circadian Rhythm
addiction,D016739,"#1258 lay-term alias -> Behavior, Addictive"
alcohol use,D000437,#1258 lay-term alias -> Alcoholism
perioperative,D019990,#1258 lay-term alias -> Perioperative Care
clinical trials,D002986,#1258 lay-term alias -> Clinical Trials as Topic
IVF,D005307,#1258 lay-term alias -> Fertilization in Vitro
sickle cell,D000755,"#2091 lay-term alias -> Anemia, Sickle Cell. Users truncate the lay form; no NLM entry-term match (verified staging mesh_descriptor 2026-07-30). Full form 'sickle cell anemia' already resolves."
TBI,D000070642,"#2091 abbreviation alias -> Brain Injuries, Traumatic. No NLM entry-term match (verified 2026-07-30). Full form 'traumatic brain injury' already resolves."
CKD,D051436,"#2091 abbreviation alias -> Renal Insufficiency, Chronic. No NLM entry-term match (verified 2026-07-30). Full form 'chronic kidney disease' already resolves."
patch clamp,D018408,"Patch-Clamp Techniques. NLM entry terms are all '…Technique(s)'; bare lay form has no surface match (verified staging meshMapped:false 2026-09-14). 21 prod searches/90d, the single largest unresolved topic string."
cryo em,D020285,"Cryoelectron Microscopy. NLM entry terms: Cryo-electron Microscopy, Electron Cryomicroscopy — no 'Cryo-EM'; 'cryo electron microscopy' already resolves exact (verified 2026-09-14). 18 prod searches/90d."
pancreatic surgery,D010180,"Pancreatectomy (procedure subtree incl. Pancreaticoduodenectomy). No specialty descriptor; result page = HPB surgeons (verified staging 2026-09-14). Plural/case/trailing-token variants ('pancreatic surgeries', '… outcomes', 'minimally invasive …') reach this row via the singularize + window-fallback tiers."
gastrointestinal surgery,D013505,"Digestive System Surgical Procedures (59 descendants). No specialty descriptor; window fallback found nothing (verified staging 2026-09-14). 11 prod searches/90d plus 5 variants."
GI surgery,D013505,"Digestive System Surgical Procedures. 'gi' is a 2-char token so the window fallback never reaches it; needs its own row (verified 2026-09-14)."
neurogenetics,D020271,"Heredodegenerative Disorders, Nervous System — dual-listed C10.574.500 + C16.320.400, the one descriptor whose subtree is the C10 ∩ C16.320 intersection. Interdisciplinary field name NLM does not coin; UMLS C0597047 has no MSH atom. Schema test for the term-resolution-gap spec (Projects, 2026-09-14), not coverage: zero prod searches/90d."
neuro-oncology,D009423,"Nervous System Neoplasms. Organ × oncology rule (term-gap spec §0.5): dominant head of the C10 ∩ C04 intersection (43-descriptor subtree vs 2 for the runner-up). Unresolved on staging 2026-09-14; result page = DeAngelis/Gutin/Fine/Souweidane."
gynecologic oncology,D005833,"Genital Neoplasms, Female. Organ × oncology rule: dominant head of C13-female ∩ C04 (19 vs 3). ABMS subspecialty; unresolved on staging 2026-09-14; result page = Abu-Rustum/Chi/Leitao/Sonoda."
gynecological oncology,D005833,"Genital Neoplasms, Female. British-spelling variant of the row above (different normalized key)."
gyn onc,D005833,"Genital Neoplasms, Female. Clinician shorthand ('gyn-onc' normalizes to the same key). Verified unresolved 2026-09-14."
urologic oncology,D014571,"Urologic Neoplasms. Organ × oncology rule: single maximal member of C12-urologic ∩ C04. Unresolved on staging 2026-09-14."
genitourinary oncology,D014565,"Urogenital Neoplasms (parent of Urologic + Genital neoplasms). Common clinical phrasing for the GU service. Unresolved on staging 2026-09-14."
GU oncology,D014565,"Urogenital Neoplasms. 'gu' is a 2-char token so the window fallback never reaches it; needs its own row. Verified unresolved 2026-09-14."
cutaneous oncology,D012878,"Skin Neoplasms. Organ × oncology rule: dominant head of C17 ∩ C04 (16 vs 9). Unresolved on staging 2026-09-14; result page = Busam/Halpern/Wolchok/Chapman."
ocular oncology,D005134,"Eye Neoplasms. Organ × oncology rule: dominant head of C11 ∩ C04 (12 vs 2). Unresolved on staging 2026-09-14."
orthopedic oncology,D001859,"Bone Neoplasms. Organ × oncology rule: C05 ∩ C04, head chosen by name (Bone Cysts ties on subtree size but is not a neoplasm class). Unresolved on staging 2026-09-14."
orthopaedic oncology,D001859,"Bone Neoplasms. British-spelling variant of the row above."
musculoskeletal oncology,D001859,"Bone Neoplasms. Same head as orthopedic oncology; soft-tissue sarcoma is under C04 by histology, not reachable by tree intersection — accepted ceiling."
gastrointestinal oncology,D004067,"Digestive System Neoplasms. Organ × oncology rule: dominant head of C06 ∩ C04 (43 vs 2). Unresolved on staging 2026-09-14."
GI oncology,D004067,"Digestive System Neoplasms. 'gi' is a 2-char token; needs its own row. Verified unresolved 2026-09-14."
endocrine oncology,D004701,"Endocrine Gland Neoplasms. Organ × oncology rule: dominant head of C19 ∩ C04 (40 vs 2). Unresolved on staging 2026-09-14."
thoracic oncology,D013899,"Thoracic Neoplasms (subtree incl. Lung, Heart, Mediastinal, Pleural Neoplasms). Hand-picked: single-listed under C04 so no tree intersection finds it — the intersection rule returned Mediastinal Neoplasms, which is wrong. Unresolved on staging 2026-09-14."
hematologic oncology,D019337,"Hematologic Neoplasms. Hand-picked: NLM's entry term 'hematologic malignancies' resolves, the '-oncology' phrasing does not. Tree intersection cannot reach it (Leukemia/Lymphoma sit under histologic type, not under this site head). Unresolved on staging 2026-09-14."
head and neck oncology,D006258,"Head and Neck Neoplasms. Hand-picked; 'and' is stripped by normalization so the key is 'headneckoncology'. Unresolved on staging 2026-09-14 (503 BM25 hits, the largest unresolved phrase in this batch)."
geriatric medicine,D005853,"Geriatrics (H02 discipline descriptor). ABMS certificate name; NLM has no 'Geriatric Medicine' surface form. Unresolved on staging 2026-09-14."
transplant hepatology,D016031,"Liver Transplantation. ABMS certificate name; no NLM surface form. Unresolved on staging 2026-09-14."
neuromuscular medicine,D009468,"Neuromuscular Diseases (C10.668). ABMS certificate name; no NLM surface form. Unresolved on staging 2026-09-14."
neurodevelopmental disabilities,D065886,"Neurodevelopmental Disorders (F03.625). ABMS certificate name; NLM uses 'Disorders'. Unresolved on staging 2026-09-14."
urogynecology,D059952,"Pelvic Floor Disorders. No NLM descriptor or entry term for the discipline; the disease subtree is the retrievable content. Unresolved on staging 2026-09-14."
urogynecology and reconstructive pelvic surgery,D059952,"Pelvic Floor Disorders. Full ABMS certificate name. Unresolved on staging 2026-09-14."
neonatal-perinatal medicine,D009359,"Neonatology (H02). ABMS certificate name; 'neonatology' itself resolves exact. Unresolved on staging 2026-09-14."
endocrine surgery,D013507,"Endocrine Surgical Procedures (E04.270). No specialty descriptor; procedure subtree (thyroidectomy, parathyroidectomy, adrenalectomy). Unresolved on staging 2026-09-14."
transplant surgery,D016377,"Organ Transplantation (E04.936.450). 'transplant' is not a descriptor name so the single-token window never fires. Unresolved on staging 2026-09-14 (532 BM25 hits)."
ARDS,D012128,"Respiratory Distress Syndrome. Clinical abbreviation; no concept on staging 2026-09-24 (44 BM25 scholars vs 440 via the descriptor)."
ECMO,D015199,"Extracorporeal Membrane Oxygenation. Clinical abbreviation; no concept on staging 2026-09-24 (39 vs 192)."
PCOS,D011085,"Polycystic Ovary Syndrome. Clinical abbreviation; no concept on staging 2026-09-24 (16 vs 127)."
PrEP,D065129,"Pre-Exposure Prophylaxis. HIV PrEP abbreviation; no concept on staging 2026-09-24 (23 vs 313). Whole-query only, so 'bowel prep' is unaffected."
NICU,D007363,"Intensive Care Units, Neonatal. Clinical abbreviation; no concept on staging 2026-09-24 (23 vs 422)."
prime editing,D000072669,"Gene Editing. No prime-editing descriptor; parent technique. No concept on staging 2026-09-24 (39 vs 190)."
PROTAC,D000094243,"Proteolysis Targeting Chimera. Abbreviation; no concept on staging 2026-09-24. Descriptor is recent, so few pubs are tagged yet."
HFpEF,D054144,"Heart Failure, Diastolic. Closest descriptor, not identical (no preserved-EF descriptor). No concept on staging 2026-09-24 (7 vs 471)."
