query_term,target_topic_id,candidate_mesh_descriptor,note
depression,mental_health_psychiatry,Depressive Disorder,
anxiety,mental_health_psychiatry,Anxiety Disorders,
psychiatry,mental_health_psychiatry,Psychiatry,
PTSD,mental_health_psychiatry,"Stress Disorders, Post-Traumatic",needs-alias
schizophrenia,mental_health_psychiatry,Schizophrenia,
diabetes,metabolic_endocrine_disease,Diabetes Mellitus,
obesity,metabolic_endocrine_disease,Obesity,overlap nutrition_metabolism
thyroid,metabolic_endocrine_disease,Thyroid Diseases,
endocrinology,metabolic_endocrine_disease,Endocrinology,
microbiome,microbiome_research,Microbiota,
gut bacteria,microbiome_research,Gastrointestinal Microbiome,needs-alias
orthopedics,musculoskeletal_orthopedic_medicine,Orthopedics,
arthritis,musculoskeletal_orthopedic_medicine,Arthritis,overlap autoimmune (RA)
sports medicine,musculoskeletal_orthopedic_medicine,Sports Medicine,
kidney disease,nephrology_renal_disease,Kidney Diseases,
dialysis,nephrology_renal_disease,Renal Dialysis,
nephrology,nephrology_renal_disease,Nephrology,
brain tumor,neuro_oncology,Brain Neoplasms,needs-alias (lay)
glioblastoma,neuro_oncology,Glioblastoma,
Alzheimer's,neurodegenerative_disease,Alzheimer Disease,needs-alias (apostrophe/possessive)
Parkinson's,neurodegenerative_disease,Parkinson Disease,needs-alias
dementia,neurodegenerative_disease,Dementia,
ALS,neurodegenerative_disease,Amyotrophic Lateral Sclerosis,needs-alias (acronym)
neuroscience,neuroscience_neurology,Neurosciences,
epilepsy,neuroscience_neurology,Epilepsy,
nutrition,nutrition_metabolism,Nutritional Sciences,
diet,nutrition_metabolism,Diet,
eye,ophthalmology_vision_science,Eye,needs-alias
glaucoma,ophthalmology_vision_science,Glaucoma,
vision,ophthalmology_vision_science,Vision Ocular,
dental,oral_craniofacial_health,Dentistry,needs-alias
dentistry,oral_craniofacial_health,Dentistry,
ENT,otolaryngology_head_neck,Otolaryngology,needs-alias (acronym)
ear nose throat,otolaryngology_head_neck,Otolaryngology,needs-alias
chronic pain,pain_management_anesthesiology,Chronic Pain,
anesthesia,pain_management_anesthesiology,Anesthesia,
palliative care,palliative_end_of_life_care,Palliative Care,
hospice,palliative_end_of_life_care,Hospice Care,
pathology,pathology_laboratory_medicine,Pathology,
pediatrics,pediatrics_neonatology,Pediatrics,
children's health,pediatrics_neonatology,Child Health,needs-alias
primary care,primary_care_general_medicine,Primary Health Care,
internal medicine,primary_care_general_medicine,Internal Medicine,
prostate cancer,prostate_urologic_cancer,Prostatic Neoplasms,
bladder cancer,prostate_urologic_cancer,Urinary Bladder Neoplasms,
COPD,pulmonary_critical_care,Pulmonary Disease Chronic Obstructive,needs-alias (acronym)
asthma,pulmonary_critical_care,Asthma,
respiratory,pulmonary_critical_care,Respiratory Tract Diseases,
radiology,radiology_medical_imaging,Radiology,
MRI,radiology_medical_imaging,Magnetic Resonance Imaging,needs-alias (acronym)
imaging,radiology_medical_imaging,Diagnostic Imaging,
rehabilitation,rehabilitation_disability_medicine,Rehabilitation,
physical therapy,rehabilitation_disability_medicine,Physical Therapy Modalities,
core facilities,research_infrastructure_workforce,?,needs-alias
single cell,single_cell_spatial_biology,Single-Cell Analysis,needs-alias
spatial transcriptomics,single_cell_spatial_biology,?,needs-alias
sleep,sleep_medicine_circadian_biology,Sleep,
insomnia,sleep_medicine_circadian_biology,"Sleep Initiation and Maintenance Disorders",
circadian,sleep_medicine_circadian_biology,Circadian Rhythm,
sleep apnea,sleep_medicine_circadian_biology,Sleep Apnea Syndromes,
stem cells,stem_cell_regenerative_medicine,Stem Cells,
regenerative medicine,stem_cell_regenerative_medicine,Regenerative Medicine,
addiction,substance_use_addiction_medicine,Behavior Addictive,overlap; lay umbrella term
opioids,substance_use_addiction_medicine,Opioid-Related Disorders,needs-alias
substance abuse,substance_use_addiction_medicine,Substance-Related Disorders,
alcohol use,substance_use_addiction_medicine,Alcoholism,
surgery,surgery_perioperative_medicine,"Surgery, Operative",very broad — review weighting
perioperative,surgery_perioperative_medicine,Perioperative Care,
systems biology,systems_biology,Systems Biology,
clinical trials,translational_clinical_science,Clinical Trials as Topic,
translational research,translational_clinical_science,Translational Research Biomedical,
transplant,transplantation_medicine,Transplantation,needs-alias
organ transplant,transplantation_medicine,Organ Transplantation,
urology,urology_mens_health,Urology,
men's health,urology_mens_health,Men's Health,needs-alias (apostrophe)
women's health,womens_health_reproductive_medicine,Women's Health,needs-alias (apostrophe)
fertility,womens_health_reproductive_medicine,Fertility,
IVF,womens_health_reproductive_medicine,"Fertilization in Vitro",needs-alias (acronym)
menopause,womens_health_reproductive_medicine,Menopause,
